"filename", "language", "CMake", "Markdown", "C++", "CMake Cache", "Makefile", "TypeScript", "C", "Log", "comment", "blank", "total"
"/home/starrysky/evolvingcnetworklibrary/CMakeLists.txt", "CMake", 16, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22
"/home/starrysky/evolvingcnetworklibrary/README.md", "Markdown", 0, 232, 0, 0, 0, 0, 0, 0, 0, 86, 318
"/home/starrysky/evolvingcnetworklibrary/build/CMakeCache.txt", "CMake Cache", 0, 0, 0, 304, 0, 0, 0, 0, 0, 66, 370
"/home/starrysky/evolvingcnetworklibrary/build/CMakeFiles/3.22.1/CMakeCCompiler.cmake", "CMake", 55, 0, 0, 0, 0, 0, 0, 0, 0, 18, 73
"/home/starrysky/evolvingcnetworklibrary/build/CMakeFiles/3.22.1/CMakeCXXCompiler.cmake", "CMake", 64, 0, 0, 0, 0, 0, 0, 0, 0, 20, 84
"/home/starrysky/evolvingcnetworklibrary/build/CMakeFiles/3.22.1/CMakeSystem.cmake", "CMake", 10, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16
"/home/starrysky/evolvingcnetworklibrary/build/CMakeFiles/3.22.1/CompilerIdC/CMakeCCompilerId.c", "C", 0, 0, 0, 0, 0, 0, 610, 0, 62, 132, 804
"/home/starrysky/evolvingcnetworklibrary/build/CMakeFiles/3.22.1/CompilerIdCXX/CMakeCXXCompilerId.cpp", "C++", 0, 0, 598, 0, 0, 0, 0, 0, 64, 130, 792
"/home/starrysky/evolvingcnetworklibrary/build/CMakeFiles/CMakeDirectoryInformation.cmake", "CMake", 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"/home/starrysky/evolvingcnetworklibrary/build/CMakeFiles/CMakeOutput.log", "Log", 0, 0, 0, 0, 0, 0, 0, 419, 0, 31, 450
"/home/starrysky/evolvingcnetworklibrary/build/CMakeFiles/Makefile.cmake", "CMake", 42, 0, 0, 0, 0, 0, 0, 0, 0, 6, 48
"/home/starrysky/evolvingcnetworklibrary/build/CMakeFiles/main.dir/DependInfo.cmake", "CMake", 20, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"/home/starrysky/evolvingcnetworklibrary/build/CMakeFiles/main.dir/cmake_clean.cmake", "CMake", 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"/home/starrysky/evolvingcnetworklibrary/build/CMakeFiles/main.dir/compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"/home/starrysky/evolvingcnetworklibrary/build/Makefile", "Makefile", 0, 0, 0, 0, 195, 0, 0, 0, 66, 83, 344
"/home/starrysky/evolvingcnetworklibrary/build/cmake_install.cmake", "CMake", 46, 0, 0, 0, 0, 0, 0, 0, 0, 9, 55
"/home/starrysky/evolvingcnetworklibrary/include/Buffer.h", "C++", 0, 0, 14, 0, 0, 0, 0, 0, 4, 8, 26
"/home/starrysky/evolvingcnetworklibrary/include/Connection.h", "C++", 0, 0, 15, 0, 0, 0, 0, 0, 4, 8, 27
"/home/starrysky/evolvingcnetworklibrary/include/ConnectionManager.h", "C++", 0, 0, 13, 0, 0, 0, 0, 0, 3, 6, 22
"/home/starrysky/evolvingcnetworklibrary/include/Event.h", "C++", 0, 0, 17, 0, 0, 0, 0, 0, 0, 7, 24
"/home/starrysky/evolvingcnetworklibrary/include/EventLoop.h", "C++", 0, 0, 25, 0, 0, 0, 0, 0, 0, 9, 34
"/home/starrysky/evolvingcnetworklibrary/include/IOEvent.h", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"/home/starrysky/evolvingcnetworklibrary/include/SelectPoller.h", "C++", 0, 0, 17, 0, 0, 0, 0, 0, 2, 8, 27
"/home/starrysky/evolvingcnetworklibrary/include/SocketListener.h", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 4, 13
"/home/starrysky/evolvingcnetworklibrary/journal.md", "Markdown", 0, 41, 0, 0, 0, 0, 0, 0, 0, 10, 51
"/home/starrysky/evolvingcnetworklibrary/src/Buffer.cpp", "C++", 0, 0, 21, 0, 0, 0, 0, 0, 3, 10, 34
"/home/starrysky/evolvingcnetworklibrary/src/Connection.cpp", "C++", 0, 0, 46, 0, 0, 0, 0, 0, 3, 12, 61
"/home/starrysky/evolvingcnetworklibrary/src/ConnectionManager.cpp", "C++", 0, 0, 20, 0, 0, 0, 0, 0, 0, 7, 27
"/home/starrysky/evolvingcnetworklibrary/src/EventLoop.cpp", "C++", 0, 0, 87, 0, 0, 0, 0, 0, 10, 20, 117
"/home/starrysky/evolvingcnetworklibrary/src/SelectPoller.cpp", "C++", 0, 0, 59, 0, 0, 0, 0, 0, 2, 12, 73
"/home/starrysky/evolvingcnetworklibrary/src/SocketListener.cpp", "C++", 0, 0, 38, 0, 0, 0, 0, 0, 0, 8, 46
"/home/starrysky/evolvingcnetworklibrary/src/main.cpp", "C++", 0, 0, 12, 0, 0, 0, 0, 0, 1, 3, 16
"Total", "-", 287, 273, 998, 304, 195, 2, 610, 419, 224, 742, 4054
